Class,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
0,-2.223084,-4.701689,-2.014651,-2.167837,-2.818251,-5.471387,11.980548,9.932623,-0.250497,3.328035,-1.698233,-3.021662,0.956159,-1.831329
0,-5.935968,-9.738002,-0.992572,-3.172337,0.756514,2.518156,15.654508,15.019161,3.196194,-1.457153,-3.44983,-3.119601,-4.298633,-4.980438
0,-7.998961,-15.109566,-0.533013,-6.092921,-1.497333,9.08131,13.955647,16.213261,8.101922,-4.544736,0.598305,-0.093544,-6.344047,-5.736324
0,-6.234807,-11.73319,-3.623107,-7.040919,-4.304911,7.676265,4.104011,11.495877,11.847452,1.307734,3.060587,-0.008162,-2.401383,-4.146702
0,-3.020407,-2.604795,-6.560014,-4.372715,-2.046041,2.955114,-6.457053,4.972904,11.951669,8.437174,0.399917,-2.347391,1.305222,-2.61484
0,-0.755259,2.599772,-5.480176,-1.469709,1.021451,1.955636,-9.604905,-0.047086,8.122012,7.310878,-0.928535,-2.08371,0.956159,-1.596527
0,1.198494,2.685155,-1.959403,-0.574449,-0.160092,3.551536,-7.408817,-5.077121,1.931779,0.947369,2.9074,0.755259,0.659831,0.543058
0,3.118345,3.533957,0.948625,0.646019,-1.05912,3.397094,-6.23983,-10.265364,-3.61934,-2.903633,5.280532,1.571415,2.45412,3.13718
0,3.424718,6.647908,2.720312,3.862931,3.698444,1.959403,-5.892021,-11.644041,-5.855608,-3.722301,0.433819,-0.609606,1.796172,3.179871
0,2.288377,8.435918,3.04803,6.153191,8.546413,0.835619,-2.864709,-8.119501,-5.365914,-3.611806,-6.248619,-2.138958,-1.769804,0.810506
0,2.097522,7.216706,1.236163,4.62384,5.098466,-2.072409,0.932302,-4.114056,-5.118556,-0.82934,-6.755892,-1.072932,-1.266298,0.026996
0,2.8961,3.87172,-0.293188,1.341636,-3.192427,-7.024595,1.830074,-1.911689,-5.678565,3.629385,-2.479232,0.759025,4.191905,2.058598
0,1.909178,-1.050331,1.982004,0.028252,-5.844308,-8.516278,2.260753,1.405672,-4.510834,2.942558,-0.124935,1.553836,5.034429,2.926235
0,-1.100556,-5.691121,5.72879,0.489066,-1.514912,-3.643197,5.750136,6.288799,-1.183427,-3.879254,-0.671132,1.504867,-2.308467,0.229152
0,-2.597261,-6.092921,4.598727,0.073454,1.699489,1.526212,7.948736,7.654919,1.066654,-7.049708,-0.101078,1.222351,-7.41635,-2.533224
0,-0.834363,-1.356703,-1.62164,-1.296433,0.240452,0.539291,2.223084,3.366959,0.905934,-0.560637,2.165326,0.835619,-2.816995,-1.788638
0,1.558859,3.810195,-5.907089,-1.497333,-1.305222,-3.768759,-8.531346,-1.473476,1.282621,7.850797,3.104533,0.48781,3.830285,0.55687
0,1.966937,4.849852,-4.586171,-0.448886,-0.182693,-4.518367,-14.543279,-2.897355,3.42974,8.705878,2.64623,0.322068,3.963381,1.291411
0,0.952392,2.285866,-1.587738,-0.181438,0.664854,-0.8984,-11.689243,-3.717279,3.574137,3.486243,3.512612,0.337135,1.94308,1.32029
0,-0.318301,-1.204772,-0.373549,-1.081721,-0.23543,3.123368,-3.665798,-6.129335,-0.470232,-1.607828,4.989227,0.490322,4.034952,2.449097
0,-2.12389,-4.542224,0.687455,-1.457153,-0.102333,6.006283,5.709956,-5.75767,-4.28231,-5.475154,3.187405,0.193994,5.358381,2.597261
0,-4.073876,-6.85383,2.555825,-0.840641,1.935546,8.533857,14.402649,0.833107,-3.145969,-8.732246,-1.881554,-1.532491,-0.45642,-0.741447
0,-4.274776,-6.367903,2.488021,-0.686199,2.520668,9.626251,18.612761,8.569014,1.022707,-8.611706,-5.264209,-4.067598,-8.360581,-5.207706
0,-2.491788,-3.443552,-0.48781,-1.637963,-0.191483,7.523079,15.425984,10.799005,4.170559,-3.727324,-4.525901,-4.754425,-9.969037,-6.689343
0,-1.347914,-1.587738,-3.235118,-2.717801,-3.567859,3.189916,7.995194,9.176737,6.890243,2.328557,-3.014128,-2.359948,-6.389249,-5.362148
0,-2.302189,-2.592238,-3.798894,-3.161037,-4.674065,-1.027729,1.637963,9.09261,10.421062,6.341535,-3.526423,0.759025,-3.176104,-3.993516
0,-2.761748,-3.026685,-3.580415,-2.719056,-3.446063,-4.245897,-3.621851,8.787493,10.491377,8.551436,-3.709745,2.100033,-0.304489,-2.51439
0,0.328346,1.351681,-3.02794,-0.656064,-1.169615,-6.502255,-10.604383,2.005861,3.221307,8.725968,-0.91849,2.358692,3.991005,0.895889
